Nom,Pochette,Statut,Auteur,Genre,Durée,Durée d'écoute,Synopsis,Note,Site,Langue,Dernier épisode,MP3,Website,Youtube,RSS,Soundcloud,Spotify,Discord,Récompense,Citation,Recommandation,Bande-annonce,NSI 2022,NSI 2023,Message Insta,Auteurs,Listen Notes,Note Apple
"""Bain de vapeur"" de Roland Dubillard",,Terminé,Jean Couturier,Tranche-de-vie,1:55,1 h 55 min,"Dans un lieu de cure indéterminé, une conversation à bâtons rompus fait 
alterner les points de vue sur la vie et les autres : vol de diamants, 
enquête policière, drame passionnel, perte de mémoire, catastrophe 
naturelle, le ""moi"" divisé, 68 et le ""CHE"", le chiffre 13. Évidemment, 
les curistes se bouffent le nez à la première occasion venue. Moquerie, 
cynisme, dérision sont les maîtres mots de ce portrait à charge d'une 
petite société en situation d'autarcie.",,https://www.radiofrance.fr/franceculture/podcasts/fictions-theatre-et-cie/bain-de-vapeur-de-roland-dubillard-3404687,Français,14/1/2024,,https://www.radiofrance.fr/franceculture/podcasts/fictions-theatre-et-cie/bain-de-vapeur-de-roland-dubillard-3404687,,,,,,,,,,,,,Jean Couturier,,
"""Bunker Kyiv"" de Stefano Massini",,Terminé,"Mélanie Péclat,France Culture","Tranche-de-vie,Documentaire",0:58,58 min,"Dans Bunker Kyiv, Stefano Massini nous plonge dans le quotidien des habitants de Kyiv depuis le début de la guerre en Ukraine, qui, au rythme des sirènes, doivent se réfugier dans un bunker : un lieu où se protéger, mais où la peur de la mort est partout présente.",,https://www.radiofrance.fr/franceculture/podcasts/samedi-fiction/bunker-kiev-de-stefano-massini-1997893,Français,18/11/2023,,https://www.radiofrance.fr/franceculture/podcasts/samedi-fiction/bunker-kiev-de-stefano-massini-1997893,,,,,,,,,,,,,"Mélanie Péclat, France Culture",,
"""Dans la colonie pénitentiaire"" de Franz Kafka",colonie.png (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/_RnfbvtXVCiU7Bd8-lSghA/uEqKKUkkg9ybj3paO6ymguxkudWPaJcyzBARWzdXfQDxjU0oziMqWmJwQ994nPbwv7aKqcikp02RL7zj0DzKXjMsacRpiw2MdeopIn7iBrvEqv-C0_OY8df-lD9D90RYedHdQS-cWL4p-yWmzfi5pg/qyPp9ebguciIxx7Ga8PJTLnccD7WftaseRa5PUcY4Rg),Terminé,"Cédric Aussir,France Culture","Historique,Fantastique",0:57,57 min,"Un expert itinérant débarque dans une île au milieu de nulle part pour examiner le système mécanique d’exécution des condamnés à mort dans une ""colonie"" dirigée par un commandant. Il est censé assister à l’exécution d’un homme au moyen d’une machine extrêmement sophistiquée.",,https://www.radiofrance.fr/franceculture/podcasts/samedi-fiction/dans-la-colonie-penitentiaire-de-franz-kafka-2685413,Français,,,https://www.radiofrance.fr/franceculture/podcasts/samedi-fiction/dans-la-colonie-penitentiaire-de-franz-kafka-2685413,,,,,,,,,,,,,"Cédric Aussir, France Culture",,
"""Dark was the night"" d’Emmanuel Meirieu",dark.jpg (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/ej0IlyxiEdITkC0Qw92JcA/YUwszPmQFHhbNdU0UzljO8rklsGWz38zkNK9JFublK7oxWHM-OuOw_4-0rsm-0Iz37YTBdpK8VnfxABJDdR9jZ5q1a9y-lcRzoZUbegGxyI1e27Lcq3Rqoluu5-utJtWri83pLs5Ki-paA74NaYPYQ/CaocEM2YaTJKy0Kk2E8rjxAXH1Mt110wxc3uFJbdJ4w),Terminé,"Emmanuel Meirieu,Louise Loubrieu,France Culture","Science-Fiction,Musical",1:22,1 h 22 min,"Août 1977. Un vaisseau spatial décolle pour l'espace interstellaire avec, à destination de civilisations extra-terrestres, des échantillons de l’humanité. Dont une chanson blues de Blind Willie Johnson, mort en 1949 d’une pneumonie à 40 ans, refusé à l’hôpital parce que noir, pauvre et aveugle.",,https://www.radiofrance.fr/franceculture/podcasts/fictions-theatre-et-cie/dark-was-the-night-d-emmanuel-meirieu-3561214,Français,18/6/2023,,https://www.radiofrance.fr/franceculture/podcasts/fictions-theatre-et-cie/dark-was-the-night-d-emmanuel-meirieu-3561214,,,,,,,,,,,,,"Emmanuel Meirieu, Louise Loubrieu, France Culture",,
"""Daurades et sanglier "" de Sophie Fillières et Yann Coridian",,Terminé,"Cédric Aussir,France Culture","Tranche-de-vie,Théâtre",0:56,56 min,"Théâtre de la famille, comique de l’absurde. Une réunion de Noël avec son lot de révélations, d’acrimonie, de ressentiment, et de tendresse aussi. Des règlements de compte, des mises au point, et deux adolescents en roue libre, entre l’ennui et l’ironie, dont le regard achoppe sur les réalités des liens et des distorsions de la famille. Père patriarche, fils et belles-filles, cousin et cousine, neveu et nièce, pièce rapportée, frère banni qui refait surface, chacun y joue sa part d’inquiétude, d’émotion mais de drôlerie aussi. Une écriture sèche, rapide, une sorte de bonbon au poivre, à la daurade, et au sanglier.",,https://www.radiofrance.fr/franceculture/podcasts/fictions-samedi-noir/daurades-et-sanglier-3194802,Français,24/12/2011,,https://www.radiofrance.fr/franceculture/podcasts/fictions-samedi-noir/daurades-et-sanglier-3194802,,,,,,,,,,,,,"Cédric Aussir, France Culture",,
"""Dissection d'une chute de neige"" de Sara Stridsberg",,Terminé,"Xavier Jacquot,Baptiste Guiton,France Culture",Historique,1:56,1 h 56 min,"Sara
 Stridsberg s’inspire de l’histoire sulfureuse de la reine Christine de 
Suède qui n’hésitera pas à déposer sa couronne afin de vivre pleinement 
sa liberté, pour interroger le rapport au pouvoir, la sexualité, la 
provocation, le féminisme, la question du genre, la solitude incurable 
de l’âme.",,https://www.radiofrance.fr/franceculture/podcasts/fictions-theatre-et-cie/dissection-d-une-chute-de-neige-de-sara-stridsberg-9236555,Français,25/4/2021,,https://www.radiofrance.fr/franceculture/podcasts/fictions-theatre-et-cie/dissection-d-une-chute-de-neige-de-sara-stridsberg-9236555,,,,,,,,,,,,,"Xavier Jacquot, Baptiste Guiton, France Culture",,
"""Hostiles"" de Franck Tilliez",,Terminé,"François Christophe,France Culture","Thriller,Ambiance",0:54,54 min,"Quand Léa tourne la tête vers le conducteur de la voiture, sa ceinture de sécurité semble incrustée dans sa chair. Pas moyen de bouger. Tous les deux sont coincés dans l’habitacle, au fond d’un ravin, depuis ce mystérieux accident qui leur a fait dévaler la pente. Sans téléphone, sans personne pour les entendre appeler à l’aide. Ils ne savent pas qu’ils sont là pour longtemps, ou pour très longtemps.",,https://www.radiofrance.fr/franceculture/podcasts/fictions-samedi-noir/hostiles-de-franck-tilliez-3513647,Français,29/6/2013,,https://www.radiofrance.fr/franceculture/podcasts/fictions-samedi-noir/hostiles-de-franck-tilliez-3513647,,,,,,,,,,,,,"François Christophe, France Culture",,
"""Ici, ce n'est pas un endroit pour mourir"" d'Albert Boronat",,Terminé,"Laurence Courtois,France Culture","Fantastique,Tranche-de-vie,Théâtre",1:22,1 h 22 min,"Un garçon retrouve Buster, son chien, mort sur le bas-côté de la route. De cette collision initiale surgit une faille temporelle, qui provoque l'enchevêtrement du passé, du présent et du futur. Peu à peu, sans éclats, se dévoilera l'histoire d'une famille enfermée dans la violence des préjugés culturels et sociaux qui ont condamné leur fils aîné à la fuite et à la dissimulation, et le cadet au mépris, à la lâcheté et à se réfugier dans la compagnie d'un chien et celle de son petit théâtre intérieur.",,https://www.radiofrance.fr/franceculture/podcasts/fictions-theatre-et-cie/ici-ce-n-est-pas-un-endroit-ou-mourir-d-albert-boronat-9089080,Français,22/10/2023,,https://www.radiofrance.fr/franceculture/podcasts/fictions-theatre-et-cie/ici-ce-n-est-pas-un-endroit-ou-mourir-d-albert-boronat-9089080,,,,,,,,,,,,,"Laurence Courtois, France Culture",,
"""Jacques Demy, éclats d’une vie"" de Sophie Lemp",demy.jpg (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/Zto5JnopVKnyOdwXVvvwXg/gfKexizoSoA9tpIk0kyWYwucXgrviq0d5B2jyWp5vUVEmQu1aNejY2iCvuf1aob-dQTckMgx9MmQM1CbYyvUOLNYw8i167QwabqVnOkUryFZg-Z7i2SW5_6-FlSogOEWJCpwHCJPD6icVqgYyQBu_w/NTgPMu8J15a455EUBvySFk6FSmgcThU7YVrWagg5-C0),Terminé,"Sophie Lemp,Laurence Courtois,France Culture",Tranche-de-vie,0:57,57 min,"Lola, étudiante en cinéma, part à Nantes sur les traces de Jacques Demy, son réalisateur préféré. Elle rencontre Simon, libraire, et sa grand-mère Cécile, qui toute sa vie a voué une passion au cinéaste.",,https://www.radiofrance.fr/franceculture/podcasts/samedi-fiction/jacques-demy-eclats-d-une-vie-de-sophie-lemp-3648890,Français,9/9/2023,,https://www.radiofrance.fr/franceculture/podcasts/samedi-fiction/jacques-demy-eclats-d-une-vie-de-sophie-lemp-3648890,,,,,,,,,,,,,"Sophie Lemp, Laurence Courtois, France Culture",,
"""Jeanne"" de Yan Allégret",jeanne.jpg (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/mXU-2d6Vadb5PjjLHV_guQ/vov8IZaGJj_pm49gZXO8LaGh4HEVBZCRW_lCGc8ZU7YIT1r-jL4rA5deHGSziBvEDMMpSIDkTvrooURSoMKrZobH9LP-UutcEIn_bZRqoYbvqqdwaJbViQbqDdn2J4icziN4xUMe0f24mD7qfVDT9w/EB9a8rxxXKhtKupxkrPU3-rzxjMynlDujt6OnnbpVpo),Terminé,"Laurence Courtois,France Culture",Tranche-de-vie,1:57,1 h 57 min,"Sans raison explicable, une femme, un jour, ne rentre plus chez elle. Délaissant travail, amour, enfants, Jeanne se réfugie dans une chambre d'hôtel anonyme, puis dans la ville elle-même. Paysages urbains, ciels, déchirements, extases, nuits blanches devant le fleuve, parcs publics, vol d'étourneaux et marches immenses à travers la ville, comme autant d'étapes de la redécouverte de soi-même et du réel. En s'inspirant du phénomène des ""disparus volontaires"", la pièce réunit autour de Jeanne, son mari Eloi, comme un fil d'Ariane, leur fils Léo, un homme répondant au nom du ""Vieil homme étourneau"" et une présence étrange émanant de l'hôtel : une jeune fille dont la chambre s'est peu à peu transformée en marais immense et répondant au nom de… Lou Reed.",,https://www.radiofrance.fr/franceculture/podcasts/fictions-theatre-et-cie/jeanne-de-yan-allegret-5605062,Français,12/11/2023,,https://www.radiofrance.fr/franceculture/podcasts/fictions-theatre-et-cie/jeanne-de-yan-allegret-5605062,,,,,,,,,,,,,"Laurence Courtois, France Culture",,
