Path,Nom,Numéro,Saison,Durée,Date,Description,Attachments,Piste
1287 - S01 E01,Le Complot,1,1287 - S01,15:09,2015,,,https://www.youtube.com/watch?v=jZvjPewX8vU&list=PLMTSO5fLj_87-V0XPztqpaePQ5T2YIzzY
1287 - S01 E02,Un Allié venant du Nord,2,1287 - S01,16:49,2015,,,https://www.youtube.com/watch?v=T1ECpKrU11Y&list=PLMTSO5fLj_87-V0XPztqpaePQ5T2YIzzY&index=2
1287 - S01 E03,Le Secret du Kaizer,3,1287 - S01,19:02,2015,,,https://www.youtube.com/watch?v=DiBNQH4KQ-c&list=PLMTSO5fLj_87-V0XPztqpaePQ5T2YIzzY&index=3
1287 - S01 E04,L’Or du Comte,4,1287 - S01,14:36,2015,,,https://www.youtube.com/watch?v=r5emP17ieOY&list=PLMTSO5fLj_87-V0XPztqpaePQ5T2YIzzY&index=4
1287 - S01 E05,Les Galettes de Toulouse,5,1287 - S01,17:55,2017,,,
1287 - S01 E06,La Dame de Fer,6,1287 - S01,25:17,2017,,,
1287 - S01 E07,Révélation divine,7,1287 - S01,16:14,2017,,,
1287 - S01 E08,Le destin d’un héros,8,1287 - S01,16:56,2018,,,
1287 - S01 E09,La fourberie des bretons,9,1287 - S01,17:44,2018,,,
1287 - S01 E10,L’ultime Affront,10,1287 - S01,16:28,2018,,,
1287 - S01 E11,Francie in Periculum 1,11,1287 - S01,20:50,2019,,,
1287 - S01 E12,Francie in Periculum 2,12,1287 - S01,23:53,2019,,,
Adoprixtoxis - S01 E01,Le naufrage,1,Adoprixtoxis - S01,8:36,,,,
Adoprixtoxis - S01 E02,Rencontre du 3e type,2,Adoprixtoxis - S01,14:05,,,,
Adoprixtoxis - S01 E03,On n'a pas trouvé de titre,3,Adoprixtoxis - S01,6:09,,,,
Adoprixtoxis - S01 E04,La grande évasion,4,Adoprixtoxis - S01,7:30,,,,
Adoprixtoxis - S01 E05,Les égoûts,5,Adoprixtoxis - S01,8:30,,,,
Adoprixtoxis - S01 E06,La suite du cinquième,6,Adoprixtoxis - S01,8:23,,,,
Adoprixtoxis - S01 E07,Les abysses,7,Adoprixtoxis - S01,8:00,,,,
Adoprixtoxis - S01 E08,La zone 51 et demi...,8,Adoprixtoxis - S01,9:28,,,,
Adoprixtoxis - S01 E09,Le 9e épisode,9,Adoprixtoxis - S01,7:47,,,,
Adoprixtoxis - S01 E10,Glagla,10,Adoprixtoxis - S01,9:00,,,,
Adoprixtoxis - S01 E11,Terminus,11,Adoprixtoxis - S01,8:43,,,,
Adoprixtoxis - S01 E12,Vroum !!!,12,Adoprixtoxis - S01,8:02,,,,
Adoprixtoxis - S01 E13,Blanquette de veau,13,Adoprixtoxis - S01,11:23,,,,
Adoprixtoxis - S01 E14,L'épave,14,Adoprixtoxis - S01,15:30,,,,
Adoprixtoxis - S01 E15,Phase 2,15,Adoprixtoxis - S01,15:57,,,,
Adoprixtoxis - S01 E16,Hyperspace,16,Adoprixtoxis - S01,19:57,,,,
Adoprixtoxis - S01 E17,Le début de la fin,17,Adoprixtoxis - S01,22:22,,,,
Adoprixtoxis - S01 E18,Mega battle Part 1,18,Adoprixtoxis - S01,19:58,,,,
Adoprixtoxis - S01 E19,Mega battle Part 2,19,Adoprixtoxis - S01,15:16,,,,
Afterlife Inc. - S01 E01,Le train,1,Afterlife Inc. - S01,3:27,2020,,,https://www.youtube.com/watch?v=LcYQVbNmYAo&list=PL_-IZ4z7HPGdGtD3MCj5OSUaoLpTKTm5o&index=2
Afterlife Inc. - S01 E02,Le réveil,2,Afterlife Inc. - S01,4:57,2020,,,https://www.youtube.com/watch?v=XP2nYliZK9Q&list=PL_-IZ4z7HPGdGtD3MCj5OSUaoLpTKTm5o&index=3
Afterlife Inc. - S01 E03,La peur,3,Afterlife Inc. - S01,3:26,2020,,,https://www.youtube.com/watch?v=I5E41n8x2wY&list=PL_-IZ4z7HPGdGtD3MCj5OSUaoLpTKTm5o&index=4
Afterlife Inc. - S01 E04,La rencontre,4,Afterlife Inc. - S01,11:11,2020,,,https://www.youtube.com/watch?v=CxDMCVVE71k&list=PL_-IZ4z7HPGdGtD3MCj5OSUaoLpTKTm5o&index=5
